기준_SHA,원본_종류,block_id,현재_block_version,현재_이름,현재_editor_component,현재_category,현재_용도명,현재_preset수,현재_갤러리노출,현재_일반레이아웃중첩,현재_자식슬롯,권고_제작단위,전환_주의,소스_위치
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.cta-split-01,1,행동 유도,Cta,hero-conversion,첫 화면·전환,4,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:201
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.contact-info-01,1,연락처,Contact,trust-company,신뢰·회사,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:219
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,trust.logo-cloud-01,1,로고 클라우드,LogoCloud,trust-company,신뢰·회사,3,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:237
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,data.stats-icons-01,1,숫자·아이콘 지표,Stats,data-comparison,데이터·비교,4,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:255
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,commerce.pricing-tiers-01,1,요금제,Pricing,data-comparison,데이터·비교,4,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:273
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,company.team-grid-01,1,팀 소개,Team,trust-company,신뢰·회사,4,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:291
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,media.gallery-grid-01,1,갤러리 그리드,Gallery,media,미디어,4,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:309
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,data.bar-chart-01,1,막대그래프,BarChart,data-comparison,데이터·비교,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:327
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.board-recent-posts-01,1,G7 최근 게시글,G7RecentPosts,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:345
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.ecommerce-product-grid-01,1,G7 상품 그리드,G7ProductGrid,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:366
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,form.inquiry-01,1,문의·신청 폼,InquiryForm,form-location,문의·방문,5,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,폼 전체 배치와 공개 설정만 확장. 필수 전송/검증/동의 구조 유지,resources/block-packs/builtin-core/manifest.json:387
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,location.map-directions-01,1,지도·오시는 길,MapDirections,form-location,문의·방문,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:407
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,trust.testimonials-01,1,고객 후기,Testimonials,trust-company,신뢰·회사,5,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:427
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.faq-accordion-01,1,FAQ 아코디언,FaqAccordion,content,콘텐츠,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,현재 항목/필드 편집 유지. 자식 본문 슬롯은 후속 검증 후 확장,resources/block-packs/builtin-core/manifest.json:445
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.process-timeline-01,1,프로세스·타임라인,ProcessTimeline,content,콘텐츠,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:465
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.tabs-01,1,탭 콘텐츠,Tabs,content,콘텐츠,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,현재 항목/필드 편집 유지. 자식 본문 슬롯은 후속 검증 후 확장,resources/block-packs/builtin-core/manifest.json:483
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,commerce.comparison-table-01,1,비교표,ComparisonTable,data-comparison,데이터·비교,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:503
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.article-list-01,1,에디토리얼 목록,ArticleList,content,콘텐츠,5,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:521
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,media.video-embed-01,1,영상,VideoEmbed,media,미디어,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:539
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,trust.logo-carousel-01,1,로고 캐러셀,LogoCarousel,trust-company,신뢰·회사,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:559
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,trust.testimonial-slider-01,1,후기 슬라이더,TestimonialSlider,trust-company,신뢰·회사,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:579
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.event-schedule-01,1,이벤트 일정,EventSchedule,content,콘텐츠,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:599
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.download-resources-01,1,다운로드 자료,DownloadResources,content,콘텐츠,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:617
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.board-content-archive-01,1,G7 콘텐츠 아카이브,G7BoardArchive,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:635
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.ecommerce-product-showcase-01,1,G7 상품 쇼케이스,G7ProductShowcase,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:657
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.board-post-detail-01,1,G7 게시글 상세,G7PostDetail,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:678
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,g7.ecommerce-product-detail-01,1,G7 상품 상세,G7ProductDetail,g7-data,G7 데이터,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,공개 API capability와 고정 runtime 유지. 분류 변경만으로 일반 열 중첩을 허용하지 않음,resources/block-packs/builtin-core/manifest.json:699
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.divider-01,1,구분선,Divider,basic,기본,1,기본 후보 노출,Section/Columns/Stack 허용,없음,기본 요소,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:720
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.blockquote-01,1,인용문,Blockquote,basic,기본,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:737
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.notice-01,1,알림·안내,Notice,hero-conversion,첫 화면·전환,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:754
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.card-grid-01,1,카드 그리드,CardGrid,content,콘텐츠,5,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,현재 최소 2개 카드인 완성 조합. 신규 단일 카드 컴포넌트와 동일시하지 않음,resources/block-packs/builtin-core/manifest.json:771
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,navigation.breadcrumbs-01,1,경로 탐색,Breadcrumbs,navigation,탐색,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:788
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,navigation.anchor-menu-01,1,섹션 바로가기,AnchorMenu,navigation,탐색,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:805
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,navigation.social-links-01,1,소셜 링크,SocialLinks,navigation,탐색,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:822
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,media.image-carousel-01,1,이미지 캐러셀,ImageCarousel,media,미디어,1,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:839
58ed8a33829fdcb1327d730c6ab6da953f656949,구조 노드,layout.section-01,1,구역,LayoutSection,해당 없음,구조,0,구조 편집 활성화 및 위치에 따라 별도 도구,root만,content 슬롯; Columns/Stack/leaf 허용,레이아웃,기존 구조 타입 유지. 허용 범위는 layout-policy와 깊이/전체 하위 트리 검증을 따름,schemas/layout-policy-v1.json:65
58ed8a33829fdcb1327d730c6ab6da953f656949,구조 노드,layout.columns-01,1,열,LayoutColumns,해당 없음,구조,0,구조 편집 활성화 및 위치에 따라 별도 도구,Section 안,column1/column2/column3 슬롯; 열 수에 따라 생성; Stack/leaf 허용,레이아웃,기존 구조 타입 유지. 허용 범위는 layout-policy와 깊이/전체 하위 트리 검증을 따름,schemas/layout-policy-v1.json:66
58ed8a33829fdcb1327d730c6ab6da953f656949,구조 노드,layout.stack-01,1,세로 묶음,LayoutStack,해당 없음,구조,0,구조 편집 활성화 및 위치에 따라 별도 도구,Section/Columns 안,content 슬롯; leaf 허용,레이아웃,기존 구조 타입 유지. 허용 범위는 layout-policy와 깊이/전체 하위 트리 검증을 따름,schemas/layout-policy-v1.json:67
